danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.831,0.8140000000000001,2,-7.364,1,0.42,0.0598,0.0134,0.0556,0.389,156.985,audio_features,2Vc6NJ9PW9gD9q343XFRKx,spotify:track:2Vc6NJ9PW9gD9q343XFRKx,https://api.spotify.com/v1/tracks/2Vc6NJ9PW9gD9q343XFRKx,https://api.spotify.com/v1/audio-analysis/2Vc6NJ9PW9gD9q343XFRKx,124539,4,Dark Trap,Mercury: Retrograde,,
0.7190000000000001,0.493,8,-7.23,1,0.0794,0.401,0.0,0.11800000000000001,0.124,115.08,audio_features,7pgJBLVz5VmnL7uGHmRj6p,spotify:track:7pgJBLVz5VmnL7uGHmRj6p,https://api.spotify.com/v1/tracks/7pgJBLVz5VmnL7uGHmRj6p,https://api.spotify.com/v1/audio-analysis/7pgJBLVz5VmnL7uGHmRj6p,224427,4,Dark Trap,Pathology,,
0.85,0.893,5,-4.783,1,0.0623,0.0138,4.14e-06,0.37200000000000005,0.0391,218.05,audio_features,0vSWgAlfpye0WCGeNmuNhy,spotify:track:0vSWgAlfpye0WCGeNmuNhy,https://api.spotify.com/v1/tracks/0vSWgAlfpye0WCGeNmuNhy,https://api.spotify.com/v1/audio-analysis/0vSWgAlfpye0WCGeNmuNhy,98821,4,Dark Trap,Symbiote,,
0.47600000000000003,0.7809999999999999,0,-4.71,1,0.10300000000000001,0.0237,0.0,0.114,0.175,186.94799999999998,audio_features,0VSXnJqQkwuH2ei1nOQ1nu,spotify:track:0VSXnJqQkwuH2ei1nOQ1nu,https://api.spotify.com/v1/tracks/0VSXnJqQkwuH2ei1nOQ1nu,https://api.spotify.com/v1/audio-analysis/0VSXnJqQkwuH2ei1nOQ1nu,123661,3,Dark Trap,ProductOfDrugs (Prod. The Virus and Antidote),,
0.7979999999999999,0.624,2,-7.667999999999999,1,0.293,0.217,0.0,0.166,0.591,147.988,audio_features,4jCeguq9rMTlbMmPHuO7S3,spotify:track:4jCeguq9rMTlbMmPHuO7S3,https://api.spotify.com/v1/tracks/4jCeguq9rMTlbMmPHuO7S3,https://api.spotify.com/v1/audio-analysis/4jCeguq9rMTlbMmPHuO7S3,123298,4,Dark Trap,Venom,,
0.721,0.568,0,-11.295,1,0.414,0.0452,0.212,0.128,0.109,144.915,audio_features,6fsypiJHyWmeINsOLC1cos,spotify:track:6fsypiJHyWmeINsOLC1cos,https://api.spotify.com/v1/tracks/6fsypiJHyWmeINsOLC1cos,https://api.spotify.com/v1/audio-analysis/6fsypiJHyWmeINsOLC1cos,112511,4,Dark Trap,Gatteka,,
0.718,0.6679999999999999,8,-4.162,1,0.13699999999999998,0.0254,0.0078,0.124,0.038,130.826,audio_features,0XfQbq7DaMOmVXgQ71eA6E,spotify:track:0XfQbq7DaMOmVXgQ71eA6E,https://api.spotify.com/v1/tracks/0XfQbq7DaMOmVXgQ71eA6E,https://api.spotify.com/v1/audio-analysis/0XfQbq7DaMOmVXgQ71eA6E,77584,4,Dark Trap,kamikaze (+ pulse),,
0.6940000000000001,0.711,8,-5.525,1,0.221,0.0397,0.0,0.11199999999999999,0.28300000000000003,138.049,audio_features,0LLeuNBWPOg3XA73yab3PT,spotify:track:0LLeuNBWPOg3XA73yab3PT,https://api.spotify.com/v1/tracks/0LLeuNBWPOg3XA73yab3PT,https://api.spotify.com/v1/audio-analysis/0LLeuNBWPOg3XA73yab3PT,127524,3,Dark Trap,T.R.U. (Totally Rotten Underground),,
0.774,0.7509999999999999,1,-2.445,1,0.198,0.0614,0.0,0.0728,0.18899999999999997,219.96,audio_features,37gqBnUAZe8BY8WR56kDNk,spotify:track:37gqBnUAZe8BY8WR56kDNk,https://api.spotify.com/v1/tracks/37gqBnUAZe8BY8WR56kDNk,https://api.spotify.com/v1/audio-analysis/37gqBnUAZe8BY8WR56kDNk,140326,4,Dark Trap,I Put My Dick in Your Mental,,
0.893,0.907,11,-10.405999999999999,1,0.36700000000000005,0.152,0.0311,0.5579999999999999,0.302,199.942,audio_features,2ggqfj97qyiORmXoVFzP5j,spotify:track:2ggqfj97qyiORmXoVFzP5j,https://api.spotify.com/v1/tracks/2ggqfj97qyiORmXoVFzP5j,https://api.spotify.com/v1/audio-analysis/2ggqfj97qyiORmXoVFzP5j,121979,4,Dark Trap,Andromeda,,
0.8640000000000001,0.365,8,-10.219,1,0.0655,0.187,0.0,0.11599999999999999,0.0478,189.938,audio_features,7EL7ifncK2PWFYThJjzR25,spotify:track:7EL7ifncK2PWFYThJjzR25,https://api.spotify.com/v1/tracks/7EL7ifncK2PWFYThJjzR25,https://api.spotify.com/v1/audio-analysis/7EL7ifncK2PWFYThJjzR25,101172,4,Dark Trap,BRAINFOOD,,
0.736,0.932,1,-3.7260000000000004,1,0.271,0.146,0.0025,0.182,0.18,124.514,audio_features,0QiF3l617bIKVrkBqgdMHE,spotify:track:0QiF3l617bIKVrkBqgdMHE,https://api.spotify.com/v1/tracks/0QiF3l617bIKVrkBqgdMHE,https://api.spotify.com/v1/audio-analysis/0QiF3l617bIKVrkBqgdMHE,115775,4,Dark Trap,Troll Under the Bridge,,
0.825,0.7609999999999999,8,-5.388999999999999,1,0.10400000000000001,0.0111,0.00359,0.33399999999999996,0.161,149.97,audio_features,5o7ZDvfOry1MNhNLBOJulo,spotify:track:5o7ZDvfOry1MNhNLBOJulo,https://api.spotify.com/v1/tracks/5o7ZDvfOry1MNhNLBOJulo,https://api.spotify.com/v1/audio-analysis/5o7ZDvfOry1MNhNLBOJulo,163371,4,Dark Trap,1000 Rounds,,
0.767,0.5760000000000001,10,-9.683,0,0.256,0.145,2.61e-06,0.0968,0.187,139.99,audio_features,1umsRbM7L4ju7rn9aU8Ju6,spotify:track:1umsRbM7L4ju7rn9aU8Ju6,https://api.spotify.com/v1/tracks/1umsRbM7L4ju7rn9aU8Ju6,https://api.spotify.com/v1/audio-analysis/1umsRbM7L4ju7rn9aU8Ju6,96062,4,Dark Trap,Sacrifice,,
0.765,0.726,5,-5.58,1,0.191,0.0077,0.0,0.619,0.27,128.014,audio_features,4SKqOHKYU5pgHr5UiVKiQN,spotify:track:4SKqOHKYU5pgHr5UiVKiQN,https://api.spotify.com/v1/tracks/4SKqOHKYU5pgHr5UiVKiQN,https://api.spotify.com/v1/audio-analysis/4SKqOHKYU5pgHr5UiVKiQN,135079,4,Dark Trap,Backpack,,
0.617,0.541,6,-4.113,1,0.78,0.125,0.0,0.369,0.43,159.996,audio_features,4Ag89Y7qSUrpxcgRtSzSam,spotify:track:4Ag89Y7qSUrpxcgRtSzSam,https://api.spotify.com/v1/tracks/4Ag89Y7qSUrpxcgRtSzSam,https://api.spotify.com/v1/audio-analysis/4Ag89Y7qSUrpxcgRtSzSam,107999,4,Dark Trap,D(R)Own,,
0.755,0.298,1,-15.032,1,0.0915,0.154,0.32899999999999996,0.10099999999999999,0.0372,199.958,audio_features,28xkYPSP0P5xu5vT6MQfCy,spotify:track:28xkYPSP0P5xu5vT6MQfCy,https://api.spotify.com/v1/tracks/28xkYPSP0P5xu5vT6MQfCy,https://api.spotify.com/v1/audio-analysis/28xkYPSP0P5xu5vT6MQfCy,123054,4,Dark Trap,"Okay,ButThisIsTheLastTime",,
0.8140000000000001,0.575,11,-9.635,1,0.0635,0.172,0.000291,0.109,0.28800000000000003,120.00399999999999,audio_features,3uE1swbcRp5BrO64UNy6Ex,spotify:track:3uE1swbcRp5BrO64UNy6Ex,https://api.spotify.com/v1/tracks/3uE1swbcRp5BrO64UNy6Ex,https://api.spotify.com/v1/audio-analysis/3uE1swbcRp5BrO64UNy6Ex,192833,4,Dark Trap,TakingOutTheTrash,,
0.812,0.813,10,-5.582999999999999,0,0.0984,0.0987,0.00015,0.0758,0.348,128.066,audio_features,3KJrwOuqiEwHq6QTreZT61,spotify:track:3KJrwOuqiEwHq6QTreZT61,https://api.spotify.com/v1/tracks/3KJrwOuqiEwHq6QTreZT61,https://api.spotify.com/v1/audio-analysis/3KJrwOuqiEwHq6QTreZT61,180880,4,Dark Trap,Io sono qui,,
0.8490000000000001,0.648,7,-6.188,1,0.0832,0.0725,0.00592,0.0984,0.196,212.15,audio_features,4irYeuAi87yyGHcI4h9s0x,spotify:track:4irYeuAi87yyGHcI4h9s0x,https://api.spotify.com/v1/tracks/4irYeuAi87yyGHcI4h9s0x,https://api.spotify.com/v1/audio-analysis/4irYeuAi87yyGHcI4h9s0x,111020,4,Dark Trap,Paris,,
